Model,File,Clone Method,Clone Type,Detect,Use Fallback,Success Iteration Number,Compile,Test,Usefulness
Deepseek v3.2,helper.java,getDrawingView,Type 2(b),Yes,no,1,yes,yes,yes
Deepseek v3.2,drawapplet,init,Type 1(a),Yes,no,1,yes,yes,yes
Deepseek v3.2,FigureAttributeConstant,addConstant,Type 1(a),Yes,no,1,yes,yes,yes
Deepseek v3.2,drawapplet,createAttributeConstant,Type 1(a),Yes,no,1,yes,yes,yes
Deepseek v3.2,nothingapplet,createTools,Type 1(a),Yes,no,no,,,incomplete refactoring
Deepseek v3.2,CompositeFigureCreationTool,mouseDown,Type 1(b),Yes,no,1,yes,yes,yes
Deepseek v3.2,ChopDiamondConnector,chop,Type 1(b),Yes,no,1,yes,yes,yes
Deepseek v3.2,MiniMapDesktop,createLeftComponent,Type 1(b),Yes,no,1,yes,yes,yes
Deepseek v3.2,Animator,run,Type 1(b),Yes,no,no,,,incomplete refactoring
Deepseek v3.2,CTXWindowMenu,buildChildMenus,Type 1(c),Yes,no,1,yes,yes,yes
Deepseek v3.2,ColorMap,colorIndex,Type 1(c),Yes,no,1,yes,yes,yes
Deepseek v3.2,BouncingDrawing,animationStep,Type 1(c),Yes,no,1,yes,yes,yes
Deepseek v3.2,PertDependency,handleConnect,Type 1(c),Yes,no,2,yes,yes,yes
Deepseek v3.2,AutoscrollHelper,getAutoscrollInsets,Type 2(a),Yes,no,1,yes,yes,yes
Deepseek v3.2,Geom ,direction,Type 2(a),Yes,no,1,yes,yes,yes
Deepseek v3.2,JHDDropTargetListener,dragOver,Type 2(a),Yes,no,2,yes,yes,yes
Deepseek v3.2,StandardLayouter,layout,Type 2(a),Yes,no,no,,,incomplete refactoring
Deepseek v3.2,LineConnection,basicMoveBy,Type 2(b),Yes,no,no,,,incomplete refactoring
Deepseek v3.2,Triangle Figure,rotate,Type 2(b),Yes,no,no,,,incomplete refactoring
Deepseek v3.2,SplitPaneDesktop,removeFromDesktop,Type 2(b),Yes,no,1,yes,yes,yes
Deepseek v3.2,DNDHelper,createDragGestureRecognizer,Type-3(e),Yes,no,no,,,incomplete refactoring
Deepseek v3.2,DragNDropTool,setCursor,Type-3(c),Yes,no,3,yes,yes,yes
Deepseek v3.2,JHDDragSourceListener,dragEnter,Type-3(e),Yes,no,no,,,incomplete refactoring
Deepseek v3.2,ColorContentProducer,read,Type-3(c),Yes,no,no,,,incomplete refactoring
Deepseek v3.2,CustomToolBar,activateTools,Type-3(d),Yes,no,no,,,incomplete refactoring
Deepseek v3.2,FloatingTextArea,endOverlay,Type-3(c),Yes,no,2,yes,yes,yes
Deepseek v3.2,MiniMapView,paint,Type-3(c),Yes,no,no,,,incomplete refactoring
Deepseek v3.2,PolygonFigure,basicDisplayBox,Type-3(c),Yes,no,no,,,incomplete refactoring
Deepseek v3.2,SimpleLayouter,calculateLayout,Type-3(c),Yes,no,2,yes,yes,yes
Deepseek v3.2,DragTracker,mouseDrag,Type-3(e),Yes,no,no,,,3 incomplete refactoring
Deepseek v3.2,JPanelDesktop,createContents,Type-3(a),Yes,no,2,yes,yes,yes
Deepseek v3.2,MDI_DrawApplication,newView,Type-3(a),Yes,no,2,yes,yes,yes
Deepseek v3.2,PolygonTool,deactivate,Type-3(a),Yes,no,no,,,3 incomplete refactoring
Deepseek v3.2,SVGStorageFormat,store,Type-3(a),Yes,no,no,,,"2 call-based clone substitution, 1 incomplete refactoring"
Deepseek v3.2,TriangleRotationHandle,getOrigin,Type-3(d),Yes,no,1,yes,yes,yes
Deepseek v3.2,ElbowHandle,invokeStep,Type-3(d),Yes,no,2,yes,yes,yes
Deepseek v3.2,ScribbleTool,point,Type-2(c),Yes,no,1,yes,yes,yes
Deepseek v3.2,URLTool,beginEdit,Type-3(b),Yes,no,1,yes,yes,yes
Deepseek v3.2,NodeFigure,drawBorder,Type-3(b),Yes,no,1,yes,yes,yes
Deepseek v3.2,PertFigure,drawBorder,Type-3(b),Yes,no,2,yes,yes,yes
Deepseek v3.2,BufferedUpdateStrategy,draw,Type-2(d),Yes,no,1,yes,yes,yes
Deepseek v3.2,ChangeConnectionHandle,findConnectableFigure,Type-3(b),Yes,no,1,yes,yes,yes
Deepseek v3.2,FigureAndEnumerator,nextFigure,Type-1(a),Yes,no,1,yes,yes,yes
Deepseek v3.2,HandleAndEnumerator,nextHandle,Type-1(a),Yes,no,1,yes,yes,yes
Deepseek v3.2,LocatorConnector,displayBox,Type-1(a),Yes,no,1,yes,yes,yes
Deepseek v3.2,LocatorHandle,getCursor,Type-1(b),Yes,no,1,yes,yes,yes
Deepseek v3.2,StandardFigureSelection,getData,Type-1(b),Yes,no,1,yes,yes,yes
Deepseek v3.2,ToggleGridCommand,execute,Type-1(c),Yes,no,1,yes,yes,yes
Deepseek v3.2,CommandMenu,actionPerformed,Type-2(d),Yes,no,1,yes,yes,yes
Deepseek v3.2,PaletteLayout,layoutContainer,Type-2(c),Yes,no,1,yes,yes,yes
Deepseek v3.2,SerializationStorageFormat,restore,Type-1(c),Yes,no,1,yes,yes,yes
Deepseek v3.2,StandardVersionControlStrategy,assertCompatibleVersion,Type-1(c),Yes,no,1,yes,yes,yes
Deepseek v3.2,RoundRectangleGeometricAdapter,getShape,Type-2(a),Yes,no,2,yes,yes,yes
Deepseek v3.2,ScalingGraphics,scaledShape,Type-2(d),Yes,no,no,,,3 incomplete refactoring
Deepseek v3.2,ZoomDrawingView,setScale,Type-2(d),Yes,no,1,yes,yes,yes
Deepseek v3.2,CTXCommandMenu,checkEnabled,Type-2(a),Yes,no,1,yes,yes,yes
Deepseek v3.2,MySelectionTool,mouseDown,Type-2(b),Yes,no,2,yes,yes,yes
Deepseek v3.2,PatternPainter,drawPattern,Type-2(c),Yes,no,1,yes,yes,yes
Deepseek v3.2,SelectAreaTracker,drawXORRect,Type-2(a),Yes,no,2,yes,yes,yes
Deepseek v3.2,Bounds,intersectsBounds,Type-2(a),Yes,no,no,,,3 incomplete refactoring
Deepseek v3.2,drawapplet,setupAttributes,Type-1(a),yes,no,1,yes,yes,yes
Deepseek v3.2,drawapplication,promptOpen,Type-1(a),yes,no,no,,,"2 incomplete refactoring, compialtion error"
Deepseek v3.2,DNDHelper,createDropTarget,Type-1(a),yes,no,1,yes,yes,yes
Deepseek v3.2,DragNDropTool,mouseUp,Type-1(a),yes,no,1,yes,yes,yes
Deepseek v3.2,HTMLTextAreaFigure,draw,Type-1(a),yes,no,1,yes,yes,yes
Deepseek v3.2,JHDDragSourceListener,dragDropEnd,Type-1(b),yes,no,no,,,did not perform refactoring
Deepseek v3.2,JHDDropTargetListener,supportDropTargetDragEvent,Type-1(b),yes,no,2,yes,yes,yes
Deepseek v3.2,AttributeFigureContentProducer,getContent,Type-1(b),yes,no,no,,,clone removal by delegation -> 2 did not perform refactoring 
Deepseek v3.2,ColorContentProducer,getContent,Type-1(b),yes,no,no,,,3 incomplete refactoring
Deepseek v3.2,ContentProducerRegistry,getSuperClassContentProducer,Type-1(c),yes,no,1,yes,yes,yes
Deepseek v3.2,DisposableResourceManagerFactory,initManager,Type-1(c),yes,no,1,yes,yes,yes
Deepseek v3.2,FigureDataContentProducer,getContent,Type-1(c),yes,no,1,yes,yes,yes
Deepseek v3.2,HTMLContentProducer,getHTMLFontSizeEquivalent,Type-1(c),yes,no,1,yes,yes,yes
Deepseek v3.2,ResourceContentProducer,getContent,Type-2(a),yes,no,no,,,3 incomplete refactoring
Deepseek v3.2,URLContentProducer,getContent,Type-2(a),yes,no,no,,,3 incomplete refactoring
Deepseek v3.2,AreaTracker,drawXORRect,Type-2(a),yes,no,2,yes,yes,yes
Deepseek v3.2,DoubleBufferImage,getGraphics,Type-2(a),yes,no,1,yes,yes,yes
Deepseek v3.2,MiniMapZoomableView,getInverseSubjectTransform,Type-2(a),yes,no,no,,,3 incomplete refactoring
Deepseek v3.2,ScalingGraphics,clipRect,Type-2(b),yes,no,1,yes,yes,yes
Deepseek v3.2,ZoomDrawingView,zoom,Type-2(b),yes,no,no,,,3 incomplete refactoring
Deepseek v3.2,ZoomDrawingView,centralize,Type-2(b),yes,no,1,yes,yes,yes
Deepseek v3.2,AutoscrollHelper,autoscroll,Type-2(c),yes,no,1,yes,yes,yes
Deepseek v3.2,CTXCommandMenu,actionPerformed,Type-2(c),yes,no,no,,,3 incomplete refactoring
Deepseek v3.2,CustomSelectionTool,mouseDown,Type-2(d),yes,no,2,yes,yes,yes
Deepseek v3.2,FloatingTextArea,setBounds,Type-2(d),yes,no,2,yes,yes,yes
Deepseek v3.2,MiniMapView,getViewRectangle,Type-2(d),yes,no,1,yes,yes,yes
Deepseek v3.2,NestedCreationTool,mouseDown,Type-3(a),yes,no,1,yes,yes,yes
Deepseek v3.2,StandardLayouter,calculateLayout,Type-3(a),yes,no,3,yes,yes,yes
Deepseek v3.2,WindowMenu,buildChildMenus,Type-3(a),yes,no,1,yes,yes,yes
Deepseek v3.2,PolygonTool,addPoint,Type-3(b),yes,no,1,yes,yes,yes
Deepseek v3.2,AbstractLineDecoration,read,Type-3(b),yes,no,no,,,3 incomplete refactoring
Deepseek v3.2,BorderTool,mouseDown,Type-3(b),yes,no,no,,,did not refactor the correct clone
Deepseek v3.2,PolygonFigure,handles,Type-3(c),yes,no,no,,,3 incomplete refactoring
Deepseek v3.2,DesktopEventService,getDrawingViews,Type-3(c),yes,no,2,yes,yes,yes
Deepseek v3.2,ZoomCommand,zoomView,Type-3(c),yes,no,1,yes,yes,yes
Deepseek v3.2,ZoomTool,mouseDown,Type-3(d),yes,no,no,,,3 incomplete refactoring
Deepseek v3.2,TextAreaFigure,setFont,Type-3(d),yes,no,no,,,did not refactor the clone
Deepseek v3.2,TextAreaTool,mouseUp,Type-3(d),yes,no,no,,,has extract method but did not replace the clones
Deepseek v3.2,ImageFigure,imageUpdate,Type-3(e),yes,no,no,,,3 incomplete refactoring
Deepseek v3.2,PolyLineFigure,displayBox,Type-3(e),yes,no,2,yes,yes,yes
,,,,,,,,,
,,,,,,,,,
Gemini 3 pro,helper.java,getDrawingView,Type 2(b),Yes,no,1,yes,yes,yes
Gemini 3 pro,drawapplet,init,Type 1(a),Yes,no,1,yes,yes,yes
Gemini 3 pro,FigureAttributeConstant,addConstant,Type 1(a),Yes,no,1,yes,yes,yes
Gemini 3 pro,drawapplet,createAttributeConstant,Type 1(a),Yes,no,1,yes,yes,yes
Gemini 3 pro,nothingapplet,createTools,Type 1(a),Yes,no,1,yes,yes,yes
Gemini 3 pro,CompositeFigureCreationTool,mouseDown,Type 1(b),Yes,no,1,yes,yes,yes
Gemini 3 pro,ChopDiamondConnector,chop,Type 1(b),Yes,no,1,yes,yes,yes
Gemini 3 pro,MiniMapDesktop,createLeftComponent,Type 1(b),Yes,no,2,yes,yes,yes
Gemini 3 pro,Animator,run,Type 1(b),Yes,no,1,yes,yes,yes
Gemini 3 pro,CTXWindowMenu,buildChildMenus,Type 1(c),Yes,no,1,yes,yes,yes
Gemini 3 pro,ColorMap,colorIndex,Type 1(c),Yes,no,1,yes,yes,yes
Gemini 3 pro,BouncingDrawing,animationStep,Type 1(c),Yes,no,1,yes,yes,yes
Gemini 3 pro,PertDependency,handleConnect,Type 1(c),Yes,no,1,yes,yes,yes
Gemini 3 pro,AutoscrollHelper,getAutoscrollInsets,Type 2(a),Yes,no,1,yes,yes,yes
Gemini 3 pro,Geom ,direction,Type 2(a),Yes,no,1,yes,yes,yes
Gemini 3 pro,JHDDropTargetListener,dragOver,Type 2(a),Yes,no,1,yes,yes,yes
Gemini 3 pro,StandardLayouter,layout,Type 2(a),Yes,no,1,yes,yes,yes
Gemini 3 pro,LineConnection,basicMoveBy,Type 2(b),Yes,no,1,yes,yes,yes
Gemini 3 pro,Triangle Figure,rotate,Type 2(b),Yes,no,1,yes,yes,yes
Gemini 3 pro,SplitPaneDesktop,removeFromDesktop,Type 2(b),Yes,no,1,yes,yes,yes
Gemini 3 pro,DNDHelper,createDragGestureRecognizer,Type-3(e),Yes,no,no,,,3 incomplete refactoring
Gemini 3 pro,DragNDropTool,setCursor,Type-3(c),Yes,no,2,yes,yes,yes
Gemini 3 pro,JHDDragSourceListener,dragEnter,Type-3(e),Yes,no,1,yes,yes,yes
Gemini 3 pro,ColorContentProducer,read,Type-3(c),Yes,no,2,yes,yes,yes
Gemini 3 pro,CustomToolBar,activateTools,Type-3(d),Yes,no,2,yes,yes,yes
Gemini 3 pro,FloatingTextArea,endOverlay,Type-3(c),Yes,no,2,yes,yes,yes
Gemini 3 pro,MiniMapView,paint,Type-3(c),Yes,no,3,yes,yes,yes
Gemini 3 pro,PolygonFigure,basicDisplayBox,Type-3(c),Yes,no,1,yes,yes,yes
Gemini 3 pro,SimpleLayouter,calculateLayout,Type-3(c),Yes,no,1,yes,yes,yes
Gemini 3 pro,DragTracker,mouseDrag,Type-3(e),Yes,no,2,yes,yes,yes
Gemini 3 pro,JPanelDesktop,createContents,Type-3(a),Yes,no,1,yes,yes,yes
Gemini 3 pro,MDI_DrawApplication,newView,Type-3(a),Yes,no,1,yes,yes,yes
Gemini 3 pro,PolygonTool,deactivate,Type-3(a),Yes,no,2,yes,yes,yes
Gemini 3 pro,SVGStorageFormat,store,Type-3(a),Yes,no,1,yes,yes,yes
Gemini 3 pro,TriangleRotationHandle,getOrigin,Type-3(d),Yes,no,1,yes,yes,yes
Gemini 3 pro,ElbowHandle,invokeStep,Type-3(d),Yes,no,1,yes,yes,yes
Gemini 3 pro,ScribbleTool,point,Type-2(c),Yes,no,1,yes,yes,yes
Gemini 3 pro,URLTool,beginEdit,Type-3(b),Yes,no,1,yes,yes,yes
Gemini 3 pro,NodeFigure,drawBorder,Type-3(b),Yes,no,1,yes,yes,yes
Gemini 3 pro,PertFigure,drawBorder,Type-3(b),Yes,no,1,yes,yes,yes
Gemini 3 pro,BufferedUpdateStrategy,draw,Type-2(d),Yes,no,1,yes,yes,yes
Gemini 3 pro,ChangeConnectionHandle,findConnectableFigure,Type-3(b),Yes,no,1,yes,yes,yes
Gemini 3 pro,FigureAndEnumerator,nextFigure,Type-1(a),Yes,no,1,yes,yes,yes
Gemini 3 pro,HandleAndEnumerator,nextHandle,Type-1(a),Yes,no,1,yes,yes,yes
Gemini 3 pro,LocatorConnector,displayBox,Type-1(a),Yes,no,1,yes,yes,yes
Gemini 3 pro,LocatorHandle,getCursor,Type-1(b),Yes,no,1,yes,yes,yes
Gemini 3 pro,StandardFigureSelection,getData,Type-1(b),Yes,no,1,yes,yes,yes
Gemini 3 pro,ToggleGridCommand,execute,Type-1(c),Yes,no,1,yes,yes,yes
Gemini 3 pro,CommandMenu,actionPerformed,Type-2(d),Yes,no,2,yes,yes,yes
Gemini 3 pro,PaletteLayout,layoutContainer,Type-2(c),Yes,no,1,yes,yes,yes
Gemini 3 pro,SerializationStorageFormat,restore,Type-1(c),Yes,no,1,yes,yes,yes
Gemini 3 pro,StandardVersionControlStrategy,assertCompatibleVersion,Type-1(c),Yes,no,1,yes,yes,yes
Gemini 3 pro,RoundRectangleGeometricAdapter,getShape,Type-2(a),Yes,no,1,yes,yes,yes
Gemini 3 pro,ScalingGraphics,scaledShape,Type-2(d),Yes,no,no,,,3 incomplete refactoring
Gemini 3 pro,ZoomDrawingView,setScale,Type-2(d),Yes,no,no,,,3 incomplete refactoring
Gemini 3 pro,CTXCommandMenu,checkEnabled,Type-2(a),Yes,no,1,yes,yes,yes
Gemini 3 pro,MySelectionTool,mouseDown,Type-2(b),Yes,no,2,yes,yes,yes
Gemini 3 pro,PatternPainter,drawPattern,Type-2(c),Yes,no,1,yes,yes,yes
Gemini 3 pro,SelectAreaTracker,drawXORRect,Type-2(a),Yes,no,2,yes,yes,yes
Gemini 3 pro,Bounds,intersectsBounds,Type-2(a),Yes,no,1,yes,yes,yes
Gemini 3 pro,drawapplet,setupAttributes,Type-1(a),yes,no,1,yes,yes,yes
Gemini 3 pro,drawapplication,promptOpen,Type-1(a),yes,no,1,yes,yes,yes
Gemini 3 pro,DNDHelper,createDropTarget,Type-1(a),yes,no,1,yes,yes,yes
Gemini 3 pro,DragNDropTool,mouseUp,Type-1(a),yes,no,1,yes,yes,yes
Gemini 3 pro,HTMLTextAreaFigure,draw,Type-1(a),yes,no,1,yes,yes,yes
Gemini 3 pro,JHDDragSourceListener,dragDropEnd,Type-1(b),yes,no,1,yes,yes,yes
Gemini 3 pro,JHDDropTargetListener,supportDropTargetDragEvent,Type-1(b),yes,no,1,yes,yes,yes
Gemini 3 pro,AttributeFigureContentProducer,getContent,Type-1(b),yes,no,1,yes,yes,yes
Gemini 3 pro,ColorContentProducer,getContent,Type-1(b),yes,no,1,yes,yes,yes
Gemini 3 pro,ContentProducerRegistry,getSuperClassContentProducer,Type-1(c),yes,no,1,yes,yes,yes
Gemini 3 pro,DisposableResourceManagerFactory,initManager,Type-1(c),yes,no,1,yes,yes,yes
Gemini 3 pro,FigureDataContentProducer,getContent,Type-1(c),yes,no,1,yes,yes,yes
Gemini 3 pro,HTMLContentProducer,getHTMLFontSizeEquivalent,Type-1(c),yes,no,1,yes,yes,yes
Gemini 3 pro,ResourceContentProducer,getContent,Type-2(a),yes,no,1,yes,yes,yes
Gemini 3 pro,URLContentProducer,getContent,Type-2(a),yes,no,1,yes,yes,yes
Gemini 3 pro,AreaTracker,drawXORRect,Type-2(a),yes,no,1,yes,yes,yes
Gemini 3 pro,DoubleBufferImage,getGraphics,Type-2(a),yes,no,1,yes,yes,yes
Gemini 3 pro,MiniMapZoomableView,getInverseSubjectTransform,Type-2(a),yes,no,1,yes,yes,yes
Gemini 3 pro,ScalingGraphics,clipRect,Type-2(b),yes,no,1,yes,yes,yes
Gemini 3 pro,ZoomDrawingView,zoom,Type-2(b),yes,no,1,yes,yes,yes
Gemini 3 pro,ZoomDrawingView,centralize,Type-2(b),yes,no,1,yes,yes,yes
Gemini 3 pro,AutoscrollHelper,autoscroll,Type-2(c),yes,no,1,yes,yes,yes
Gemini 3 pro,CTXCommandMenu,actionPerformed,Type-2(c),yes,no,1,yes,yes,yes
Gemini 3 pro,CustomSelectionTool,mouseDown,Type-2(d),yes,no,1,yes,yes,yes
Gemini 3 pro,FloatingTextArea,setBounds,Type-2(d),yes,no,1,yes,yes,yes
Gemini 3 pro,MiniMapView,getViewRectangle,Type-2(d),yes,no,1,yes,yes,yes
Gemini 3 pro,NestedCreationTool,mouseDown,Type-3(a),yes,no,1,yes,yes,yes
Gemini 3 pro,StandardLayouter,calculateLayout,Type-3(a),yes,no,1,yes,yes,yes
Gemini 3 pro,WindowMenu,buildChildMenus,Type-3(a),yes,no,1,yes,yes,yes
Gemini 3 pro,PolygonTool,addPoint,Type-3(b),yes,no,1,yes,yes,yes
Gemini 3 pro,AbstractLineDecoration,read,Type-3(b),yes,no,1,yes,yes,yes
Gemini 3 pro,BorderTool,mouseDown,Type-3(b),yes,no,1,yes,yes,yes
Gemini 3 pro,PolygonFigure,handles,Type-3(c),yes,no,1,yes,yes,yes
Gemini 3 pro,DesktopEventService,getDrawingViews,Type-3(c),yes,no,1,yes,yes,yes
Gemini 3 pro,ZoomCommand,zoomView,Type-3(c),yes,no,2,yes,yes,yes
